Muni,Muni Long,Reg 18-24,Reg 25-34,Reg 35-44,Reg 45-54,Reg 55-64,Reg 65-74,Reg 75-84,Reg 85-94,Reg Total,Pop Total 18+,Pop Total 18-24,Pop Total:,Pop Male:,Pop Under 5 years,Pop 5 to 9 years,Pop 10 to 14 years,Pop 15 to 17 years,Pop 18 and 19 years,Pop 20 years,Pop 21 years,Pop 22 to 24 years,Pop 25 to 29 years,Pop 30 to 34 years,Pop 35 to 39 years,Pop 40 to 44 years,Pop 45 to 49 years,Pop 50 to 54 years,Pop 55 to 59 years,Pop 60 and 61 years,Pop 62 to 64 years,Pop 65 and 66 years,Pop 67 to 69 years,Pop 70 to 74 years,Pop 75 to 79 years,Pop 80 to 84 years,Pop 85 years and over,Pop Female:,Pop Under 5 years,Pop 5 to 9 years,Pop 10 to 14 years,Pop 15 to 17 years,Pop 18 and 19 years,Pop 20 years,Pop 21 years,Pop 22 to 24 years,Pop 25 to 29 years,Pop 30 to 34 years,Pop 35 to 39 years,Pop 40 to 44 years,Pop 45 to 49 years,Pop 50 to 54 years,Pop 55 to 59 years,Pop 60 and 61 years,Pop 62 to 64 years,Pop 65 and 66 years,Pop 67 to 69 years,Pop 70 to 74 years,Pop 75 to 79 years,Pop 80 to 84 years,Pop 85 years and over
BARRINGTON,"Barrington town, Bristol County, Rhode Island",1736,1745,2061,3130,2691,1407,802,473,14045,11905,1140,16298,7632,381,657,688,402,237,133,56,217,149,144,335,530,660,737,739,173,317,162,167,217,235,144,152,8666,266,731,775,493,231,50,55,161,111,209,371,812,854,756,857,221,262,217,188,266,272,225,283
BRISTOL,"Bristol town, Bristol County, Rhode Island",1814,2389,2009,2574,2739,2111,1137,694,15467,19051,3718,22531,10871,456,483,539,357,742,364,237,439,704,508,613,549,825,871,874,254,347,233,246,385,337,224,284,11660,385,581,392,287,719,324,382,511,525,462,898,479,682,1018,728,424,397,280,450,361,500,392,483
BURRILLVILLE,"Burrillville town, Providence County, Rhode Island",994,1602,1694,2294,2193,1226,518,294,10815,12711,957,16015,7822,318,408,536,287,100,120,68,236,405,513,463,554,775,783,605,264,411,228,137,283,108,173,47,8193,421,375,671,288,154,55,86,138,461,560,445,653,602,833,579,261,345,137,184,244,99,260,342
CENTRAL FALLS,"Central Falls city, Providence County, Rhode Island",1313,1807,1330,1315,1086,648,421,234,8154,13623,2510,19387,9860,1171,705,825,374,257,127,197,611,828,845,704,701,772,492,462,81,128,146,93,112,122,30,77,9527,932,754,570,433,288,185,295,550,707,690,505,812,553,478,391,139,155,121,129,211,195,158,276
CHARLESTOWN,"Charlestown town, Washington County, Rhode Island",565,768,777,1138,1364,1039,431,183,6265,6330,757,7821,3818,266,139,249,95,37,88,70,160,124,215,181,278,314,286,292,95,81,175,196,169,149,64,95,4003,247,108,193,194,89,51,179,83,150,288,172,275,321,290,368,122,120,102,99,246,159,78,69
COVENTRY,"Coventry town, Kent County, Rhode Island",2626,3358,3662,5174,4495,2979,1441,698,24433,27426,2868,34989,16917,883,1040,1229,827,420,137,155,767,765,775,980,1112,1583,1451,1355,522,639,513,427,415,421,290,211,18072,588,1136,1097,763,329,269,213,578,823,899,1036,1577,1598,1425,1319,599,821,362,499,656,424,453,608
CRANSTON,"Cranston city, Providence County, Rhode Island",5787,8777,8438,10251,9931,6095,3557,2562,55398,64529,8083,80470,39974,2468,2141,1886,1438,1270,690,766,1866,2801,2775,2400,2913,2913,3475,2819,985,1497,582,683,1186,816,861,743,40496,1838,2400,2320,1450,1106,624,456,1305,2228,2255,2459,2777,3697,3290,2885,934,1314,678,905,1701,1207,1094,1573
CUMBERLAND,"Cumberland town, Providence County, Rhode Island",2461,3834,4071,5150,4382,2801,1645,1021,25365,26198,2166,33705,16514,853,1130,1339,723,285,171,108,460,989,935,857,1415,1551,1330,1182,288,585,447,417,471,369,307,302,17191,615,880,1166,801,335,176,130,501,964,817,1155,1407,1482,1575,1043,425,576,349,523,463,666,544,598
EAST GREENWICH,"East Greenwich town, Kent County, Rhode Island",1403,1327,1545,2274,2026,1165,626,400,10766,9946,928,13124,6322,273,496,550,302,144,104,28,148,333,274,258,542,513,551,563,153,248,169,151,232,107,110,73,6802,251,456,459,391,99,52,55,298,171,209,338,582,771,557,575,171,259,89,181,139,219,165,315
EAST PROVIDENCE,"East Providence city, Providence County, Rhode Island",3179,5874,5097,5655,5598,3766,2226,1507,32902,37435,3135,47099,21748,1651,1229,1226,883,362,193,268,733,1627,1562,1412,1196,1649,1676,1444,636,670,448,459,799,635,519,471,25351,1436,1094,1347,798,283,304,326,666,1665,1561,1616,1542,1740,1918,1859,778,845,549,501,1113,829,1097,1484
EXETER,"Exeter town, Washington County, Rhode Island",654,758,630,1061,1100,636,183,86,5108,5428,877,6683,3439,58,261,160,212,127,13,96,201,45,160,186,196,281,385,272,167,294,40,88,127,15,39,16,3244,114,178,169,103,85,112,76,167,84,116,130,306,324,305,373,55,101,22,61,128,85,41,109
FOSTER,"Foster town, Providence County, Rhode Island",417,534,535,887,850,486,163,105,3977,3790,600,4628,2445,65,161,144,155,63,50,43,195,25,82,128,155,252,314,181,46,124,62,51,45,42,20,42,2183,71,65,85,92,88,42,23,96,113,80,106,174,190,289,196,56,68,108,62,79,22,22,56
GLOCESTER,"Glocester town, Providence County, Rhode Island",818,1090,1168,1706,1743,965,390,142,8022,8001,1074,9801,4775,193,217,281,190,144,40,25,335,287,136,250,337,514,418,463,156,232,124,100,165,16,119,33,5026,235,203,329,152,59,114,136,221,175,313,203,387,531,464,396,222,220,81,125,140,104,62,154
HOPKINTON,"Hopkinton town, Washington County, Rhode Island",596,839,867,1301,1130,730,307,137,5907,6729,520,8148,4296,182,289,276,0,108,94,26,73,125,225,346,343,391,453,281,102,250,187,136,123,54,101,131,3852,90,148,278,156,59,28,0,132,177,154,289,173,526,327,286,179,215,100,50,110,128,186,61
JAMESTOWN,"Jamestown town, Newport County, Rhode Island",449,493,459,786,1183,882,306,158,4716,4450,410,5423,2669,67,101,163,110,148,64,64,14,13,40,135,106,389,257,291,182,65,64,125,151,46,48,26,2754,53,146,164,169,27,0,0,93,60,25,71,226,298,302,440,96,63,45,167,91,85,67,66
